,fem_prop,cs_fem_prop,lgbtq_fem_prop,incar_lgbtq,state_lgbtq,orr,rratio,aaorr,nworr,cs_nervous,lgbtq_nervous,cs_hopeless,lgbtq_hopeless,cs_restless,lgbtq_restless,cs_depression,lgbtq_depression,cs_worthlessness,lgbtq_worthlessness,cs_meds_lost,lgbtq_meds_lost,cs_pro_help_lost,lgbtq_pro_help_lost,cs_diag_depress,lgbtq_diag_depress,cs_wur,lgbtq_wur,wurr,state_pop,state_inc,ir,trans_prop,perc_elect_dem,perc_elect_rep,cs_ar,lgbtq_ar,arr,cs_pr,lgbtq_pr,prr,cs_age_ad,lgbtq_age_ad,age_adr,state_below_pov,fem_below_pov
FL,0.1480597014925373,0.13224181360201512,0.4691358024691358,0.04835820895522388,0.0359437564,1.3453855077657904,0.004576502732240437,2.528735632183908,2.3934871099050206,2.052896725440806,2.3580246913580245,1.6971032745591943,2.0864197530864197,2.380352644836272,2.8395061728395063,1.6473551637279593,1.9259259259259256,1.438287153652393,1.716049382716049,0.08690176322418136,0.2222222222222222,0.10075566750629723,0.24691358024691357,0.20214105793450882,0.4691358024691358,4.433100824350031,7.15,1.6128665426977544,20612439,366000,0.017756268435773177,0.0046,0.4782,0.4902,7.101439790575916,7.658227848101266,1.078404953635493,1.793015873015873,1.9753086419753085,1.1016682404784388,20.91304347826087,21.0,1.004158004158004,0.147,0.28
MD,0.2528216704288939,0.2,0.8611111111111112,0.08126410835214447,0.032748924910000005,2.4814282781945667,0.004474747474747475,1.9697775732915415,1.579575307092965,2.0851322418136022,2.565500685871056,1.8192427581863981,1.919067215363512,2.515950881612091,3.1622085048010975,1.86911838790932,2.081275720164609,1.5085957178841305,1.6587791495198907,0.11,0.3611111111111111,0.12,0.2222222222222222,0.2675,0.5,2.4936386768447836,11.5,4.611734693877551,6016447,99000,0.016454894391989158,0.0037,0.6033,0.3391,7.6266318537859,6.363636363636363,0.834396688556223,2.248101265822785,2.7777777777777777,1.2356106106106106,,,,0.09699999999999999,0.22399999999999998
PA,0.1769578313253012,0.1461038961038961,0.632183908045977,0.06551204819277108,0.03249492267,2.016070290675078,0.0036077152947568596,3.440591634832011,2.944412380059158,2.2484457242222513,2.6271896630559888,1.818035099641385,2.1599892783375116,2.5328863237675425,2.9443932012046106,1.7921015571330434,2.0009342036800533,1.5320686653554256,1.8466526339025275,0.1112012987012987,0.20689655172413793,0.09983766233766234,0.19540229885057472,0.3400974025974026,0.7471264367816092,3.303703703703704,11.988372093023257,3.628767337574304,12784227,368100,0.02879329348579308,0.0034,0.4746,0.4818,7.189640768588137,6.223529411764706,0.865624530081612,2.2741407528641573,2.0,0.8794530406621086,21.333333333333332,19.0,0.890625,0.129,0.263
NM,0.4213197969543147,0.34146341463414637,0.8709677419354839,0.15736040609137056,0.03433476395,4.583121827210656,0.00652317880794702,2.0680579056213575,2.3150606375974343,2.5381002788062332,2.66539321493729,2.035475823778301,1.9406448154302423,2.7166639409985827,2.9659481677807937,1.8828786680312994,1.7742236839896792,1.7044638333253381,1.6724726656097584,0.07317073170731707,0.1935483870967742,0.1402439024390244,0.12903225806451613,0.3780487804878049,0.5806451612903226,2.5246913580246915,14.935483870967742,5.915766227620475,2081015,30200,0.014512149119540225,0.0056,0.4826,0.4004,10.490683229813664,11.193548387096774,1.0669989877575967,2.588957055214724,1.903225806451613,0.7351322427763339,,,,0.198,0.301
MA,0.3563218390804598,0.30363036303630364,0.7804878048780488,0.11781609195402298,0.05744958654000001,2.050773539892964,0.004197828709288299,3.4870205346764824,2.7465548993459064,2.153591090029064,2.504033980852129,1.9539124614646148,2.096113288181225,2.4644114321485104,2.8772182479946533,1.9204055401585194,2.214005455707065,1.632687999449919,1.6993286016002376,0.07260726072607261,0.1951219512195122,0.1485148514851485,0.12195121951219512,0.30363036303630364,0.5853658536585366,8.743243243243244,3.5121951219512195,0.40170392430353974,6811779,82900,0.012170095359817164,0.0043,0.6001,0.3281,10.674911660777385,6.17948717948718,0.5788794676580179,2.248322147651007,2.025,0.9006716417910446,20.5,17.0,0.8292682926829268,0.10400000000000001,0.23
OR,0.36443148688046645,0.32362459546925565,0.7575757575757576,0.09620991253644315,0.043385490750000005,2.217559623580912,0.004182926829268293,3.131411294676601,1.5513413753443712,2.38884657310689,2.803152544874307,1.9286534383866165,1.8210943420660985,2.7458395191978915,3.0568854014543834,1.721425260647762,1.7943638016880934,1.714021644011165,1.5969493515636435,0.1488673139158576,0.21212121212121213,0.16181229773462782,0.12121212121212122,0.39158576051779936,0.6666666666666666,7.185667752442996,8.53125,1.1872591795104261,4093465,82000,0.02003192894039646,0.0046,0.5007,0.3909,11.966329966329967,10.06060606060606,0.8407428249859313,2.2682119205298013,2.272727272727273,1.0019907100199072,19.5,28.0,1.435897435897436,0.133,0.28
WV,0.5269461077844312,0.4626865671641791,0.8125,0.19161676646706588,0.032366071430000004,5.920297336100449,0.008308457711442787,3.481409274474307,3.2435129740518933,2.487976466963484,2.962598517027322,1.872601891331243,1.9006591981895653,2.617506265068641,3.2205276687954494,1.8038912332884154,1.931073868802753,1.6620449376418742,1.9874046672363637,0.17164179104477612,0.28125,0.11194029850746269,0.1875,0.3656716417910448,0.5,3.736842105263158,6.25,1.6725352112676055,1831102,20100,0.010976996366122696,0.0035,0.2643,0.685,4.616541353383458,6.09375,1.31998167752443,0.9849624060150376,1.21875,1.2373568702290076,,,,0.179,0.358
WI,0.40585774058577406,0.3632075471698113,0.7843137254901961,0.10669456066945607,0.02610786671,4.086682449186445,0.0047562189054726365,4.098125752278329,3.0671583575632932,2.4516225860069896,2.7443646768044574,1.9171523629512528,2.331385474474305,2.7160790242100674,3.2788338758587345,1.7684054038520953,2.116295566054956,1.6595802946642495,1.9801451895536548,0.1179245283018868,0.19607843137254902,0.15566037735849056,0.1568627450980392,0.37264150943396224,0.6078431372549019,5.928571428571429,10.142857142857142,1.7108433734939756,5778709,100500,0.01739142773930994,0.0033,0.4645,0.4722,10.1875,6.361702127659575,0.6244615585432711,2.6214285714285714,2.34,0.8926430517711171,,,,0.11800000000000001,0.249
MI,0.11049107142857142,0.09681227863046045,0.3541666666666667,0.05357142857142857,0.03114048263,1.720314653049697,0.015858407079646017,3.120594454887218,2.769289533995416,2.296873226193633,2.8488409307667593,1.885380345174677,2.0902371973848815,2.4719198099459385,2.81830903908039,1.7954762755653508,1.939922824292812,1.6241553486359672,2.020419691449034,0.08264462809917356,0.08333333333333333,0.1180637544273908,0.20833333333333334,0.2809917355371901,0.375,9.182912154031287,17.04255319148936,1.8558985325812685,9928300,56500,0.005690803057925325,0.0033,0.4727,0.475,7.2145499383477185,7.760869565217392,1.0757246996054186,2.1752085816448155,2.0638297872340425,0.9487962693092392,22.0,23.0,1.0454545454545454,0.15,0.29
CA,0.13391304347826086,0.11655300681959083,0.4095238095238095,0.06086956521739131,0.04087365864,1.4892125452606977,0.0032176832680470063,4.091097308488613,1.9334745234832442,2.0138232320063194,2.246179437435874,1.7476040795692338,1.8770498780703324,2.180701748177276,2.312555324181718,1.6954714670028306,2.0089516459456456,1.5075165253246352,1.666861139918562,0.09547427154370738,0.10476190476190476,0.09113453192808431,0.2,0.23186608803471792,0.5047619047619047,4.1522145976294444,5.826923076923077,1.403328980214497,39250017,536100,0.013658592810291012,0.0055,0.6173,0.3162,6.662665824384081,5.776699029126213,0.8670251790183745,2.0325610519724484,2.8476190476190477,1.401000498782384,26.857142857142858,22.0,0.8191489361702128,0.14300000000000002,0.295
