State,Incarcerated
AL,99800
AK,12900
AZ,137500
AR,72100
CA,536100
CO,121900
CT,59600
DE,22400
DC,10400
FL,366000
GA,91400
HI,27500
ID,48800
IL,204200
IN,159900
IA,46700
KS,38500
KY,97900
LA,111000
ME,10300
MD,99000
MA,82900
MI,56500
MN,119500
MS,65300
MO,105900
MT,15200
NE,23300
NV,39200
NH,10800
NJ,186300
NM,30200
NY,212100
NC,149300
ND,10300
OH,326200
OK,74500
OR,82000
PA,368100
RI,24300
SC,68800
SD,15000
TN,119400
TX,681900
UT,25400
VT,7400
VA,120000
WA,127000
WV,20100
WI,100500
WY,9400
TOTAL,5650700
