"Label","Alabama!!Estimate","Alabama!!Percent","Alaska!!Estimate","Alaska!!Percent","Arizona!!Estimate","Arizona!!Percent","Arkansas!!Estimate","Arkansas!!Percent","California!!Estimate","California!!Percent","Colorado!!Estimate","Colorado!!Percent","Connecticut!!Estimate","Connecticut!!Percent","Delaware!!Estimate","Delaware!!Percent","District of Columbia!!Estimate","District of Columbia!!Percent","Florida!!Estimate","Florida!!Percent","Georgia!!Estimate","Georgia!!Percent","Hawaii!!Estimate","Hawaii!!Percent","Idaho!!Estimate","Idaho!!Percent","Illinois!!Estimate","Illinois!!Percent","Indiana!!Estimate","Indiana!!Percent","Iowa!!Estimate","Iowa!!Percent","Kansas!!Estimate","Kansas!!Percent","Kentucky!!Estimate","Kentucky!!Percent","Louisiana!!Estimate","Louisiana!!Percent","Maine!!Estimate","Maine!!Percent","Maryland!!Estimate","Maryland!!Percent","Massachusetts!!Estimate","Massachusetts!!Percent","Michigan!!Estimate","Michigan!!Percent","Minnesota!!Estimate","Minnesota!!Percent","Mississippi!!Estimate","Mississippi!!Percent","Missouri!!Estimate","Missouri!!Percent","Montana!!Estimate","Montana!!Percent","Nebraska!!Estimate","Nebraska!!Percent","Nevada!!Estimate","Nevada!!Percent","New Hampshire!!Estimate","New Hampshire!!Percent","New Jersey!!Estimate","New Jersey!!Percent","New Mexico!!Estimate","New Mexico!!Percent","New York!!Estimate","New York!!Percent","North Carolina!!Estimate","North Carolina!!Percent","North Dakota!!Estimate","North Dakota!!Percent","Ohio!!Estimate","Ohio!!Percent","Oklahoma!!Estimate","Oklahoma!!Percent","Oregon!!Estimate","Oregon!!Percent","Pennsylvania!!Estimate","Pennsylvania!!Percent","Rhode Island!!Estimate","Rhode Island!!Percent","South Carolina!!Estimate","South Carolina!!Percent","South Dakota!!Estimate","South Dakota!!Percent","Tennessee!!Estimate","Tennessee!!Percent","Texas!!Estimate","Texas!!Percent","Utah!!Estimate","Utah!!Percent","Vermont!!Estimate","Vermont!!Percent","Virginia!!Estimate","Virginia!!Percent","Washington!!Estimate","Washington!!Percent","West Virginia!!Estimate","West Virginia!!Percent","Wisconsin!!Estimate","Wisconsin!!Percent","Wyoming!!Estimate","Wyoming!!Percent","Puerto Rico!!Estimate","Puerto Rico!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,841,164","4,841,164","736,855","736,855","6,728,577","6,728,577","2,968,472","2,968,472","38,654,206","38,654,206","5,359,295","5,359,295","3,588,570","3,588,570","934,695","934,695","659,009","659,009","19,934,451","19,934,451","10,099,320","10,099,320","1,413,673","1,413,673","1,635,483","1,635,483","12,851,684","12,851,684","6,589,578","6,589,578","3,106,589","3,106,589","2,898,292","2,898,292","4,411,989","4,411,989","4,645,670","4,645,670","1,329,923","1,329,923","5,959,902","5,959,902","6,742,143","6,742,143","9,909,600","9,909,600","5,450,868","5,450,868","2,989,192","2,989,192","6,059,651","6,059,651","1,023,391","1,023,391","1,881,259","1,881,259","2,839,172","2,839,172","1,327,503","1,327,503","8,915,456","8,915,456","2,082,669","2,082,669","19,697,457","19,697,457","9,940,828","9,940,828","736,162","736,162","11,586,941","11,586,941","3,875,589","3,875,589","3,982,267","3,982,267","12,783,977","12,783,977","1,054,491","1,054,491","4,834,605","4,834,605","851,058","851,058","6,548,009","6,548,009","26,956,435","26,956,435","2,948,427","2,948,427","626,249","626,249","8,310,301","8,310,301","7,073,146","7,073,146","1,846,092","1,846,092","5,754,798","5,754,798","583,029","583,029","3,529,385","3,529,385"
"        Male","2,346,193","48.5%","385,296","52.3%","3,344,106","49.7%","1,456,694","49.1%","19,200,970","49.7%","2,689,636","50.2%","1,750,270","48.8%","452,416","48.4%","312,629","47.4%","9,741,262","48.9%","4,922,471","48.7%","709,870","50.2%","819,845","50.1%","6,310,460","49.1%","3,245,322","49.2%","1,542,988","49.7%","1,441,912","49.8%","2,172,745","49.2%","2,271,684","48.9%","651,344","49.0%","2,886,734","48.4%","3,269,371","48.5%","4,869,885","49.1%","2,710,157","49.7%","1,450,269","48.5%","2,973,317","49.1%","514,191","50.2%","935,935","49.8%","1,426,322","50.2%","656,507","49.5%","4,350,531","48.8%","1,031,440","49.5%","9,555,130","48.5%","4,834,592","48.6%","376,979","51.2%","5,673,893","49.0%","1,919,995","49.5%","1,971,512","49.5%","6,255,042","48.9%","511,297","48.5%","2,348,338","48.6%","428,134","50.3%","3,191,977","48.7%","13,379,165","49.6%","1,483,055","50.3%","308,711","49.3%","4,086,283","49.2%","3,529,431","49.9%","912,270","49.4%","2,859,055","49.7%","297,691","51.1%","1,685,787","47.8%"
"        Female","2,494,971","51.5%","351,559","47.7%","3,384,471","50.3%","1,511,778","50.9%","19,453,236","50.3%","2,669,659","49.8%","1,838,300","51.2%","482,279","51.6%","346,380","52.6%","10,193,189","51.1%","5,176,849","51.3%","703,803","49.8%","815,638","49.9%","6,541,224","50.9%","3,344,256","50.8%","1,563,601","50.3%","1,456,380","50.2%","2,239,244","50.8%","2,373,986","51.1%","678,579","51.0%","3,073,168","51.6%","3,472,772","51.5%","5,039,715","50.9%","2,740,711","50.3%","1,538,923","51.5%","3,086,334","50.9%","509,200","49.8%","945,324","50.2%","1,412,850","49.8%","670,996","50.5%","4,564,925","51.2%","1,051,229","50.5%","10,142,327","51.5%","5,106,236","51.4%","359,183","48.8%","5,913,048","51.0%","1,955,594","50.5%","2,010,755","50.5%","6,528,935","51.1%","543,194","51.5%","2,486,267","51.4%","422,924","49.7%","3,356,032","51.3%","13,577,270","50.4%","1,465,372","49.7%","317,538","50.7%","4,224,018","50.8%","3,543,715","50.1%","933,822","50.6%","2,895,743","50.3%","285,338","48.9%","1,843,598","52.2%"
"    Under 5 years","292,771","6.0%","54,432","7.4%","434,939","6.5%","190,884","6.4%","2,499,561","6.5%","335,492","6.3%","188,812","5.3%","55,611","5.9%","41,955","6.4%","1,094,213","5.5%","660,941","6.5%","91,645","6.5%","114,063","7.0%","790,205","6.1%","420,024","6.4%","196,868","6.3%","198,915","6.9%","274,525","6.2%","309,257","6.7%","65,146","4.9%","367,551","6.2%","363,610","5.4%","573,965","5.8%","348,800","6.4%","192,390","6.4%","374,010","6.2%","60,995","6.0%","130,580","6.9%","180,440","6.4%","64,676","4.9%","528,509","5.9%","133,769","6.4%","1,170,723","5.9%","605,960","6.1%","51,419","7.0%","695,764","6.0%","265,818","6.9%","232,001","5.8%","714,598","5.6%","54,767","5.2%","291,499","6.0%","60,094","7.1%","402,160","6.1%","1,970,686","7.3%","253,964","8.6%","30,359","4.8%","510,257","6.1%","447,143","6.3%","101,908","5.5%","340,319","5.9%","37,967","6.5%","183,553","5.2%"
"    5 to 9 years","305,707","6.3%","52,309","7.1%","457,144","6.8%","201,293","6.8%","2,538,872","6.6%","355,338","6.6%","210,557","5.9%","56,566","6.1%","32,422","4.9%","1,116,799","5.6%","702,690","7.0%","84,839","6.0%","122,595","7.5%","829,477","6.5%","443,005","6.7%","204,844","6.6%","202,836","7.0%","281,090","6.4%","312,804","6.7%","72,808","5.5%","374,401","6.3%","374,138","5.5%","607,459","6.1%","362,804","6.7%","207,898","7.0%","389,938","6.4%","65,025","6.4%","132,938","7.1%","188,922","6.7%","74,086","5.6%","550,627","6.2%","142,699","6.9%","1,149,222","5.8%","644,338","6.5%","48,058","6.5%","727,074","6.3%","268,663","6.9%","242,455","6.1%","744,333","5.8%","56,610","5.4%","308,092","6.4%","60,272","7.1%","416,244","6.4%","2,012,405","7.5%","259,551","8.8%","33,409","5.3%","523,372","6.3%","448,647","6.3%","105,109","5.7%","365,329","6.3%","40,250","6.9%","205,875","5.8%"
"    10 to 14 years","313,980","6.5%","50,793","6.9%","454,665","6.8%","195,820","6.6%","2,536,895","6.6%","351,831","6.6%","228,543","6.4%","57,408","6.1%","24,759","3.8%","1,145,558","5.7%","711,030","7.0%","83,667","5.9%","123,175","7.5%","850,325","6.6%","446,516","6.8%","203,643","6.6%","200,652","6.9%","286,886","6.5%","307,531","6.6%","73,566","5.5%","374,976","6.3%","401,226","6.0%","641,499","6.5%","356,907","6.5%","208,103","7.0%","392,407","6.5%","61,764","6.0%","128,929","6.9%","184,398","6.5%","77,373","5.8%","574,364","6.4%","141,144","6.8%","1,171,027","5.9%","651,637","6.6%","42,617","5.8%","751,917","6.5%","263,520","6.8%","239,626","6.0%","763,742","6.0%","62,248","5.9%","303,601","6.3%","56,089","6.6%","422,117","6.4%","1,984,186","7.4%","250,857","8.5%","34,881","5.6%","518,662","6.2%","441,255","6.2%","106,914","5.8%","370,673","6.4%","38,635","6.6%","228,843","6.5%"
"    15 to 19 years","324,809","6.7%","49,133","6.7%","458,070","6.8%","201,365","6.8%","2,633,446","6.8%","345,616","6.4%","252,522","7.0%","60,446","6.5%","38,024","5.8%","1,185,544","5.9%","710,527","7.0%","79,892","5.7%","116,334","7.1%","865,659","6.7%","459,078","7.0%","215,024","6.9%","201,440","7.0%","288,980","6.5%","306,102","6.6%","82,208","6.2%","389,754","6.5%","461,145","6.8%","682,572","6.9%","357,492","6.6%","213,226","7.1%","400,528","6.6%","64,530","6.3%","128,681","6.8%","175,865","6.2%","90,122","6.8%","579,261","6.5%","141,518","6.8%","1,274,564","6.5%","658,761","6.6%","48,452","6.6%","778,347","6.7%","258,762","6.7%","245,719","6.2%","844,276","6.6%","74,637","7.1%","315,543","6.5%","57,294","6.7%","420,756","6.4%","1,926,342","7.1%","228,269","7.7%","44,470","7.1%","546,799","6.6%","441,557","6.2%","111,633","6.0%","384,551","6.7%","36,900","6.3%","250,906","7.1%"
"    20 to 24 years","342,489","7.1%","59,489","8.1%","483,124","7.2%","205,519","6.9%","2,891,020","7.5%","380,668","7.1%","242,007","6.7%","63,749","6.8%","58,852","8.9%","1,298,650","6.5%","724,670","7.2%","100,685","7.1%","111,710","6.8%","897,734","7.0%","481,268","7.3%","227,370","7.3%","215,954","7.5%","310,435","7.0%","343,997","7.4%","79,129","5.9%","400,581","6.7%","492,027","7.3%","721,224","7.3%","362,731","6.7%","217,892","7.3%","429,391","7.1%","72,643","7.1%","136,903","7.3%","187,422","6.6%","88,902","6.7%","570,148","6.4%","149,619","7.2%","1,427,838","7.2%","695,460","7.0%","68,009","9.2%","785,793","6.8%","284,548","7.3%","266,680","6.7%","867,182","6.8%","81,521","7.7%","346,446","7.2%","60,722","7.1%","459,392","7.0%","1,977,688","7.3%","248,683","8.4%","45,826","7.3%","590,201","7.1%","490,320","6.9%","123,410","6.7%","402,674","7.0%","42,215","7.2%","255,123","7.2%"
"    25 to 34 years","626,564","12.9%","115,775","15.7%","899,711","13.4%","385,316","13.0%","5,701,167","14.7%","798,010","14.9%","438,471","12.2%","122,685","13.1%","149,223","22.6%","2,532,527","12.7%","1,378,980","13.7%","203,249","14.4%","214,278","13.1%","1,780,279","13.9%","845,708","12.8%","391,277","12.6%","384,327","13.3%","566,828","12.8%","666,210","14.3%","152,643","11.5%","820,592","13.8%","926,099","13.7%","1,207,592","12.2%","745,041","13.7%","389,596","13.0%","800,229","13.2%","128,539","12.6%","252,414","13.4%","407,455","14.4%","154,495","11.6%","1,147,169","12.9%","276,750","13.3%","2,831,379","14.4%","1,294,386","13.0%","107,803","14.6%","1,469,248","12.7%","533,743","13.8%","548,492","13.8%","1,634,292","12.8%","137,781","13.1%","625,847","12.9%","111,742","13.1%","861,200","13.2%","3,915,774","14.5%","441,468","15.0%","71,749","11.5%","1,154,537","13.9%","1,020,046","14.4%","218,633","11.8%","728,926","12.7%","81,662","14.0%","444,100","12.6%"
