State,Estimated Percent LGBT
AK,1.550071385
AL,2.868852459
AR,1.656726309
AZ,3.324632504
CA,4.087365864
CO,3.472825143
CT,3.113604488
DC,4.815864023
DE,5.749486653
FL,3.59437564
GA,3.353112932
HI,3.672316384
IA,2.757527734
ID,2.014549524
IL,3.361742424
IN,3.401663696
KS,2.506007552
KY,2.618621307
LA,2.989890299
MA,5.744958654
MD,3.274892491
ME,3.943452381
MI,3.114048263
MN,3.102836879
MO,2.933029167
MS,2.654569892
MT,2.245088868
NC,3.04157132
ND,2.099737533
NE,2.843846949
NH,3.75
NJ,3.242512948
NM,3.433476395
NV,4.123376623
NY,4.11226483
OH,3.327915134
OK,2.855698762
OR,4.338549075
PA,3.249492267
RI,3.58829084
SC,2.660710818
SD,2.259887006
TN,2.665104701
TX,2.959028832
UT,2.495321273
VA,3.010777882
VT,4.166666667
WA,3.939592909
WI,2.610786671
WV,3.236607143
WY,2.590673575
