State,transgenderPopPerc
Hawaii,0.006
New Mexico,0.0056
California,0.0055
Georgia,0.0051
Vermont,0.0048
Oregon,0.0046
Mississippi,0.0046
Oklahoma,0.0046
Delaware,0.0046
Florida,0.0046
Alabama,0.0046
Louisiana,0.0045
Tennessee,0.0045
Arkansas,0.0044
Massachusetts,0.0043
Minnesota,0.0042
Texas,0.0042
Washington,0.0042
North Carolina,0.0042
New York,0.0041
Arizona,0.0041
Missouri,0.0041
Indiana,0.0041
Virginia,0.004
Rhode Island,0.004
Nevada,0.004
South Carolina,0.004
Illinois,0.004
Kentucky,0.004
Maine,0.0039
Alaska,0.0037
Maryland,0.0037
Colorado,0.0035
Connecticut,0.0035
West Virginia,0.0035
Pennsylvania,0.0034
Ohio,0.0034
New Jersey,0.0034
Michigan,0.0033
New Hampshire,0.0033
Wisconsin,0.0033
Kansas,0.0032
Nebraska,0.0028
Idaho,0.0026
Montana,0.0025
Wyoming,0.0024
South Dakota,0.0024
Iowa,0.0023
Utah,0.0022
North Dakota,0.0021
